imgname 5_o_Clock_Shadow Arched_Eyebrows Bags_Under_Eyes Bald Bangs Big_Lips Big_Nose Bushy_Eyebrows Chubby Eyeglasses Male Mouth_Slightly_Open Narrow_Eyes No_Beard Oval_Face Smiling Young
Kim_Ryong-sung_0003_B.jpg -1 -1 1 -1 -1 1 1 1 -1 -1 1 -1 1 1 1 1 -1
Aaron_Patterson_0001_B.jpg 1 1 -1 -1 -1 1 -1 1 -1 -1 1 -1 -1 -1 1 1 -1
Phil_Donahue_0001_B.jpg -1 -1 1 1 -1 -1 1 1 -1 1 -1 -1 -1 1 -1 -1 -1
Pete_Sampras_0004_B.jpg 1 -1 1 -1 -1 -1 1 1 -1 -1 -1 -1 -1 1 -1 1 -1
Kofi_Annan_0025_B.jpg 1 -1 1 -1 1 1 1 1 -1 1 1 -1 -1 -1 1 -1 -1
Andrew_Wetzler_0001_B.jpg 1 -1 1 -1 -1 -1 -1 -1 -1 -1 1 -1 1 1 1 -1 -1
Rainer_Schuettler_0004_B.jpg -1 -1 1 -1 -1 -1 1 -1 -1 -1 1 1 1 1 -1 1 -1
Luke_Smith_0001_B.jpg 1 -1 -1 -1 -1 1 -1 1 1 -1 1 -1 -1 1 1 -1 1
Colin_Powell_0180_B.jpg -1 1 1 -1 -1 -1 1 1 -1 1 1 1 1 1 -1 1 -1
Julianne_Moore_0012_B.jpg -1 1 -1 -1 -1 1 -1 -1 -1 -1 -1 1 -1 1 1 1 1
Pat_Wharton_0001_B.jpg -1 1 -1 -1 1 -1 1 -1 -1 -1 -1 1 -1 1 1 1 -1
Ed_Rosenthal_0001_B.jpg -1 -1 1 -1 -1 -1 1 -1 1 -1 1 1 1 1 -1 1 -1
Jiang_Zemin_0003_B.jpg -1 1 1 -1 -1 -1 1 1 -1 1 1 -1 1 1 1 -1 -1
Roh_Moo-hyun_0005_B.jpg -1 -1 1 -1 -1 -1 1 -1 -1 -1 1 1 1 1 -1 1 -1
Megawati_Sukarnoputri_0025_B.jpg -1 1 -1 -1 -1 1 1 -1 -1 -1 -1 1 -1 1 -1 1 1
Tom_Daschle_0001_B.jpg 1 -1 1 -1 1 -1 1 -1 -1 -1 1 -1 1 -1 1 -1 -1
Roh_Moo-hyun_0013_B.jpg -1 -1 1 -1 -1 -1 1 1 -1 -1 1 1 1 1 -1 1 -1
James_Wolfensohn_0002_B.jpg 1 -1 1 -1 -1 -1 1 1 1 -1 1 -1 1 1 1 -1 -1
Julie_Gerberding_0002_B.jpg -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 1 1 -1 1
Steve_Mariucci_0001_B.jpg -1 -1 1 -1 -1 -1 1 -1 1 -1 1 -1 -1 1 1 -1 -1
Guenter_Verheugen_0001_B.jpg -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 1 1 -1 -1
Joey_Buttafuoco_0001_B.jpg 1 -1 -1 -1 -1 -1 1 1 1 -1 1 -1 1 -1 -1 -1 -1
John_Malkovich_0001_B.jpg 1 1 -1 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 1 1 -1
Alejandro_Avila_0002_B.jpg 1 -1 1 -1 1 1 1 1 1 -1 1 -1 1 -1 -1 -1 -1
Atal_Bihari_Vajpayee_0009_B.jpg -1 -1 1 -1 -1 -1 1 1 1 -1 1 1 -1 1 1 1 -1
Bob_Ferguson_0001_B.jpg 1 -1 1 -1 -1 -1 1 -1 1 -1 1 1 1 1 -1 1 -1
Juanes_0002_B.jpg 1 1 1 -1 1 -1 1 1 -1 -1 1 -1 1 1 1 -1 -1
Suzanne_Fox_0001_B.jpg -1 -1 -1 -1 1 1 1 -1 1 -1 1 -1 -1 1 -1 -1 -1
Franz_Muentefering_0004_B.jpg -1 -1 1 -1 -1 -1 1 1 1 1 1 1 1 -1 -1 1 -1
Sharon_Robinson_0001_B.jpg 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 -1
Blythe_Hartley_0002_B.jpg -1 -1 1 -1 -1 -1 1 -1 1 -1 1 1 1 -1 -1 1 -1
Vivica_Fox_0002_B.jpg -1 1 -1 -1 -1 1 1 -1 -1 -1 -1 1 -1 1 1 1 -1
James_Mathis_0001_B.jpg 1 -1 1 -1 -1 1 1 1 -1 -1 1 -1 1 -1 1 -1 -1
Mohammed_Al-Douri_0004_B.jpg 1 -1 1 -1 -1 -1 1 -1 1 1 1 -1 1 -1 1 -1 -1
Kim_Clijsters_0003_B.jpg -1 -1 1 -1 -1 1 1 -1 -1 -1 -1 1 -1 1 1 1 -1
Hans_Eichel_0002_B.jpg -1 -1 1 -1 -1 -1 -1 1 1 1 1 1 1 1 -1 -1 -1
John_Ashcroft_0012_B.jpg -1 -1 1 -1 -1 1 -1 -1 1 -1 1 1 1 1 -1 -1 -1
Gunter_Pleuger_0006_B.jpg 1 1 1 1 -1 1 1 -1 1 1 1 1 1 -1 -1 -1 -1
Bill_Clinton_0010_B.jpg -1 -1 1 -1 -1 1 1 -1 1 -1 1 -1 1 1 -1 -1 -1
Lubomir_Zaoralek_0001_B.jpg 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 1 -1 -1 -1
Danny_Glover_0001_B.jpg 1 -1 1 -1 -1 1 1 -1 -1 -1 1 1 -1 1 1 1 -1
David_Nalbandian_0002_B.jpg -1 -1 -1 -1 -1 -1 -1 1 1 -1 1 -1 1 1 -1 -1 -1
Gwyneth_Paltrow_0002_B.jpg -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1
Jiang_Zemin_0020_B.jpg -1 1 1 -1 -1 -1 1 1 1 1 1 1 1 1 -1 -1 -1
Neil_Goldman_0001_B.jpg -1 -1 1 -1 -1 -1 1 -1 1 -1 1 -1 1 1 -1 -1 -1
Nestor_Kirchner_0036_B.jpg -1 -1 1 -1 -1 -1 1 1 -1 -1 1 -1 1 1 -1 1 -1
Marc_Grossman_0001_B.jpg -1 -1 1 -1 -1 -1 1 -1 -1 1 1 1 1 -1 1 1 -1
Jose_Maria_Aznar_0005_B.jpg 1 -1 1 -1 -1 -1 1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1
Mark_Sacco_0001_B.jpg 1 -1 -1 -1 1 -1 -1 -1 -1 -1 1 -1 -1 -1 1 -1 -1
Megawati_Sukarnoputri_0015_B.jpg -1 1 -1 -1 -1 1 1 1 1 1 -1 1 1 1 -1 1 1
Hugo_Chavez_0035_B.jpg -1 -1 1 -1 -1 1 1 -1 1 -1 1 -1 1 1 -1 1 -1
Shawn_Marion_0001_B.jpg -1 -1 -1 -1 -1 -1 1 -1 -1 -1 1 -1 -1 1 1 1 -1
Colin_Powell_0043_B.jpg -1 -1 1 1 -1 -1 1 1 1 1 1 1 -1 -1 -1 -1 -1
Jennifer_Lopez_0007_B.jpg -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 1 1 1 1
Melanie_Griffith_0002_B.jpg -1 1 -1 -1 -1 1 -1 -1 -1 -1 -1 1 1 1 1 1 -1
Micky_Ward_0001_B.jpg -1 -1 -1 -1 -1 1 1 1 -1 -1 1 -1 1 -1 1 -1 1
William_Umbach_0001_B.jpg -1 -1 1 -1 1 -1 -1 -1 -1 -1 1 -1 1 1 1 -1 -1
Brian_Jordan_0001_B.jpg 1 -1 1 -1 -1 1 1 1 1 -1 1 1 1 -1 -1 1 -1
Peter_Bacanovic_0002_B.jpg 1 -1 1 -1 -1 1 1 -1 -1 -1 1 -1 1 -1 1 -1 -1
Colin_Powell_0224_B.jpg 1 1 1 -1 1 1 1 1 1 1 1 -1 1 -1 1 1 -1
Sung_Hong_Choi_0001_B.jpg 1 1 -1 -1 -1 1 1 -1 1 1 1 -1 1 -1 -1 -1 -1
Brian_Pavlich_0001_B.jpg -1 -1 -1 1 -1 -1 -1 -1 -1 1 1 -1 -1 1 1 -1 1
Prince_Philippe_0001_B.jpg -1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 1 -1
Mario_Cipollini_0001_B.jpg 1 -1 1 -1 -1 -1 1 1 -1 -1 1 -1 1 -1 1 -1 -1
Barrett_Jackman_0002_B.jpg 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 1 1 -1 -1 -1
Jong_Wook_Lee_0002_B.jpg -1 1 1 -1 -1 -1 1 1 -1 -1 1 1 1 1 -1 1 -1
Kim_Ryong-sung_0004_B.jpg -1 -1 1 -1 -1 1 1 1 -1 -1 1 -1 1 1 1 -1 -1
Jennifer_Capriati_0036_B.jpg -1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 1 -1
Dean_Barkley_0003_B.jpg -1 1 1 -1 -1 1 1 -1 1 -1 1 -1 1 1 1 -1 -1
Debbie_Reynolds_0002_B.jpg -1 1 -1 -1 1 -1 -1 -1 1 -1 -1 1 -1 1 -1 1 -1
Atal_Bihari_Vajpayee_0007_B.jpg 1 -1 1 -1 1 -1 1 1 -1 -1 1 1 -1 1 1 1 -1
Lynn_Redgrave_0002_B.jpg -1 1 -1 -1 1 1 -1 -1 -1 -1 -1 1 -1 1 1 1 -1
Xiang_Xu_0001_B.jpg -1 -1 1 -1 -1 1 1 -1 1 -1 1 1 1 1 -1 1 -1
Don_Hewitt_0001_B.jpg -1 -1 -1 -1 -1 -1 1 1 -1 -1 1 1 1 1 1 1 -1
Bertie_Ahern_0005_B.jpg 1 -1 1 1 -1 -1 1 1 1 -1 1 1 -1 1 1 1 -1
Joe_Lieberman_0011_B.jpg 1 -1 1 -1 -1 1 -1 -1 -1 -1 1 1 1 1 1 -1 -1
Jennifer_Capriati_0030_B.jpg -1 -1 -1 -1 -1 -1 1 -1 1 -1 1 1 1 1 -1 1 -1
John_Ashcroft_0036_B.jpg -1 -1 1 -1 -1 1 1 -1 -1 1 1 1 -1 1 1 -1 -1
Jason_Biggs_0001_B.jpg -1 1 -1 -1 -1 1 1 1 -1 -1 1 -1 -1 1 1 -1 1
Frank_Solich_0003_B.jpg -1 -1 1 -1 -1 1 -1 -1 -1 -1 1 -1 1 -1 1 -1 -1
William_Martin_0002_B.jpg 1 -1 1 1 -1 -1 1 -1 -1 1 1 1 1 1 1 -1 -1
Colin_Powell_0060_B.jpg -1 1 1 -1 -1 1 1 1 -1 1 1 1 1 1 1 1 -1
Heather_Whitestone_McCallum_0001_B.jpg -1 1 -1 -1 -1 1 1 -1 -1 -1 -1 1 -1 1 1 1 1
Ali_Fallahian_0001_B.jpg 1 1 1 -1 -1 1 1 1 1 1 1 -1 1 -1 1 -1 -1
Bill_Clinton_0004_B.jpg -1 -1 1 -1 -1 -1 1 -1 1 -1 1 1 1 1 -1 1 -1
Matt_Damon_0001_B.jpg -1 -1 -1 -1 -1 -1 1 1 -1 -1 1 1 1 1 1 -1 1
Bernard_Lord_0002_B.jpg 1 -1 -1 -1 -1 -1 -1 1 -1 -1 1 -1 1 -1 -1 -1 1
Gerhard_Schroeder_0025_B.jpg 1 -1 1 -1 -1 -1 1 1 1 -1 1 1 1 -1 -1 1 -1
Kim_Clijsters_0001_B.jpg -1 -1 -1 -1 -1 -1 -1 -1 1 -1 1 1 1 -1 1 1 -1
John_Snow_0004_B.jpg -1 1 1 -1 1 -1 1 -1 1 -1 -1 1 1 1 -1 1 -1
Carlos_Manuel_Pruneda_0001_B.jpg 1 -1 1 -1 -1 -1 1 1 -1 -1 1 1 1 -1 -1 1 -1
Martin_Sheen_0002_B.jpg -1 -1 1 -1 -1 -1 1 -1 1 -1 1 -1 1 1 -1 -1 -1
Mary_Matalin_0001_B.jpg -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 -1 1
Vaclav_Klaus_0001_B.jpg -1 -1 1 1 -1 -1 1 1 -1 1 1 -1 1 1 -1 -1 -1
Alvaro_Uribe_0032_B.jpg 1 -1 -1 -1 -1 -1 1 1 -1 1 1 1 -1 1 1 -1 -1
Bruce_Van_De_Velde_0001_B.jpg -1 -1 1 -1 1 1 1 -1 -1 -1 1 1 1 1 1 -1 -1
Prince_Charles_0001_B.jpg -1 -1 1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 1 1 -1 -1
